Time,Trader,Unit,Max,Earns,Bid/Ask,Offer,Strategy,Period,Round
0.25951,t2,0,275,0,bid,135.0,Trader_AA,2,4
0.25963,t17,0,225,0,ask,220.0,Trader_AA,2,4
0.25975,t7,0,150,0,bid,140.0,Trader_AA,2,4
0.26007,t21,0,325,0,ask,253.0,Trader_AA,2,4
0.26035,t9,0,100,0,bid,127.0,Trader_AA,2,4
0.26063,t1,0,300,0,bid,167.0,Trader_AA,2,4
0.26088,t20,0,300,0,ask,245.0,Trader_AA,2,4
0.2611,t10,0,75,0,bid,136.0,Trader_AA,2,4
0.26122,t19,0,275,0,ask,236.0,Trader_AA,2,4
0.26133,t8,0,125,0,bid,153.0,Trader_AA,2,4
0.26145,t12,0,100,0,ask,199.0,Trader_AA,2,4
0.26157,t3,0,250,0,bid,179.0,Trader_AA,2,4
0.26171,t16,0,200,0,ask,199.0,Trader_AA,2,4
0.26187,t6,0,175,0,bid,178.0,Trader_AA,2,4
0.26204,t18,0,250,0,ask,216.0,Trader_AA,2,4
0.2623,t18,0,250,0,ask,216.0,Trader_AA,2,5
0.26243,t11,0,75,0,ask,191.0,Trader_AA,2,5
0.26265,t12,0,100,0,ask,186.0,Trader_AA,2,5
0.26279,t6,0,175,0,bid,178.0,Trader_AA,2,5
0.26297,t16,0,200,0,ask,191.0,Trader_AA,2,5
0.26319,t1,0,300,0,bid,183.0,Trader_AA,2,5
0.26355,t20,0,300,0,ask,224.0,Trader_AA,2,5
0.26367,t9,0,100,0,bid,155.0,Trader_AA,2,5
0.26384,t19,0,275,0,ask,216.0,Trader_AA,2,5
0.26429,t17,0,225,0,ask,199.0,Trader_AA,2,5
0.26452,t2,0,275,0,bid,185.0,Trader_AA,2,5
0.26474,t10,0,75,0,bid,148.0,Trader_AA,2,5
0.26487,t8,0,125,0,bid,165.0,Trader_AA,2,5
0.26499,t21,0,325,0,ask,232.0,Trader_AA,2,5
0.26511,t3,0,250,0,bid,187.0,Trader_AA,2,5,"Contract:(186.0, 't3', 't12', 0.26511)"
0.26526,t7,0,150,0,bid,50.0,Trader_AA,2,5
0.26543,t19,0,275,0,ask,358.0,Trader_AA,2,6
0.26577,t9,0,100,0,bid,67.0,Trader_AA,2,6
0.26589,t17,0,225,0,ask,314.0,Trader_AA,2,6
0.26612,t18,0,250,0,ask,293.0,Trader_AA,2,6
0.26638,t10,0,75,0,bid,70.0,Trader_AA,2,6
0.26654,t6,0,175,0,bid,105.0,Trader_AA,2,6
0.26667,t21,0,325,0,ask,304.0,Trader_AA,2,6
0.26697,t1,0,300,0,bid,170.0,Trader_AA,2,6
0.26709,t11,0,75,0,ask,251.0,Trader_AA,2,6
0.26727,t16,0,200,0,ask,234.0,Trader_AA,2,6
0.26764,t20,0,300,0,ask,256.0,Trader_AA,2,6
0.26777,t2,0,275,0,bid,193.0,Trader_AA,2,6
0.26789,t8,0,125,0,bid,170.0,Trader_AA,2,6
0.26813,t7,0,150,0,bid,179.0,Trader_AA,2,6
0.26853,t1,0,300,0,bid,208.0,Trader_AA,2,7
0.26865,t2,0,275,0,bid,218.0,Trader_AA,2,7
0.26894,t16,0,200,0,ask,227.0,Trader_AA,2,7
0.26907,t21,0,325,0,ask,260.0,Trader_AA,2,7
